Month and year,Ad unit,Impressions,Viewability,Ad requests
08/2022,APP_MMTelediarioCR,18075,"0,82",3996
08/2022,APP_NewTDMx,210809,"0,84",51101
08/2022,Default,4633,"0,44",3545
08/2022,MMCostaRica,22,"0,06",4900
08/2022,MMDigital,14353785,"0,48",17433972
08/2022,MMDigital_App,5,"0,40",1200
08/2022,MMDigital_Passback,63524,"0,13",11005
08/2022,MMLaguna,2371,"0,90",1694
08/2022,MMLaguna_App,265,"0,96",40700
08/2022,MMPuebla,122,"0,90",506
08/2022,MMRadio,338196,"0,45",41719
08/2022,MMTelediarioBajio,4182,"0,92",478
08/2022,MMTelediarioCR,4908485,"0,26",10552795
08/2022,MMTelediarioJuarez,1306,"0,90",155
08/2022,MMTelediarioLaguna,15,"0,27",4400
08/2022,MMTelediarioMty,64,"0,05",18500
08/2022,MMTelediarioMx,136,"0,06",15700
08/2022,MMTelediarioSaltillo,5527,"0,60",780
08/2022,Multimedios_APP,100823,"0,89",17750
08/2022,Multimedios_Radio,102993,"0,91",10572
08/2022,NewTelediarioMx,16587277,"0,25",21110246
08/2022,Tablet_APP_NewTDMx,737,"0,98",80700
08/2022,Telediario_APP,339,"0,92",42400
09/2022,AMP_MMTelediarioCR,242324,"0,57",29851
09/2022,AMP_NewTelediarioMx,361542,"0,52",79675
09/2022,APP_MMTelediarioCR,17968,"0,80",4013
09/2022,APP_NewTDMx,244315,"0,84",56672
09/2022,Default,7053,"0,53",5098
09/2022,MMBajio,2,"1,00",200
09/2022,MMCostaRica,8,"0,00",2300
09/2022,MMDigital,10350079,"0,48",12619162
09/2022,MMDigital_App,2,"1,00",600
09/2022,MMDigital_Passback,51873,"0,11",9121
09/2022,MMLaguna,8456,"0,93",1862
09/2022,MMLaguna_App,225,"0,92",33900
09/2022,MMPuebla,868,"0,88",228
09/2022,MMRadio,298533,"0,42",35961
09/2022,MMTelediarioBajio,3561,"0,92",407
09/2022,MMTelediarioCR,5465972,"0,27",12346620
09/2022,MMTelediarioJuarez,396,"0,84",55200
09/2022,MMTelediarioLaguna,1,"0,00",2100
09/2022,MMTelediarioMty,30,"0,10",8400
09/2022,MMTelediarioMx,92,"0,06",11900
09/2022,MMTelediarioSaltillo,3573,"0,58",521
09/2022,Multimedios_APP,118177,"0,89",20253
09/2022,Multimedios_Radio,79019,"0,90",8159
09/2022,NewTelediarioMx,15867940,"0,26",20150641
09/2022,Tablet_APP_NewTDMx,837,"0,99",88900
09/2022,Telediario_APP,227,"0,91",30200
10/2022,AMP_MMTelediarioCR,29073,"0,62",35852
10/2022,AMP_NewTelediarioMx,786607,"0,64",93866
10/2022,APP_Classic,4,"1,00",13300
10/2022,APP_D99,10,"0,90",45700
10/2022,APP_FMtu,10,"1,00",33900
10/2022,APP_Hits,96,"0,97",44300
10/2022,APP_LaCaliente,22,"1,00",61900
10/2022,APP_LaLupe,15,"1,00",45300
10/2022,APP_MMTelediarioCR,14636,"0,78",3476
10/2022,APP_NewTDMx,213775,"0,84",56554
10/2022,APP_RGLaDeportiva,13,"1,00",41200
10/2022,Default,12684,"0,63",3238
10/2022,MMCostaRica,15,"0,13",4100
10/2022,MMDigital,8420387,"0,47",10621256
10/2022,MMDigital_App,1,"0,00",100
10/2022,MMDigital_Passback,49888,"0,11",8388
10/2022,MMLaguna,11703,"0,92",1951
10/2022,MMLaguna_App,210,"0,88",32500
10/2022,MMPuebla,1252,"0,86",195
10/2022,MMRadio,299431,"0,42",36782
10/2022,MMTelediarioBajio,1328,"0,89",170
10/2022,MMTelediarioCR,6268536,"0,25",13988467
10/2022,MultimediosTest,9,"0,78",1400
10/2022,Multimedios_APP,113039,"0,89",19017
10/2022,Multimedios_Radio,102805,"0,91",10675
10/2022,NewTelediarioMx,13411052,"0,26",17088547
10/2022,Tablet_APP_Classic,0,"0,00",15400
10/2022,Tablet_APP_D99,0,"0,00",23100
10/2022,Tablet_APP_FMtu,0,"0,00",400
10/2022,Tablet_APP_Hits,0,"0,00",300
10/2022,Tablet_APP_LaCaliente,0,"0,00",1900
10/2022,Tablet_APP_LaLupe,0,"0,00",1600
10/2022,Tablet_APP_NewTDMx,921,"0,99",98800
10/2022,Tablet_APP_RGDeportiva,0,"0,00",900
10/2022,Telediario_APP,187,"0,91",24400
10/2022,mundial_qatar,120,"0,88",40600
11/2022,AMP_MMTelediarioCR,502435,"0,56",62685
11/2022,AMP_NewTelediarioMx,1975048,"0,62",2492295
11/2022,APP_Classic,134,"0,97",30500
11/2022,APP_D99,274,"0,99",73200
11/2022,APP_FMtu,143,"0,83",31800
11/2022,APP_Hits,361,"0,85",62300
11/2022,APP_LaCaliente,422,"0,86",80300
11/2022,APP_LaLupe,240,"0,95",40800
11/2022,APP_MMTelediarioCR,10918,"0,81",2463
11/2022,APP_NewTDMx,205241,"0,84",51464
11/2022,APP_RGLaDeportiva,192,"0,95",34100
11/2022,Default,11247,"0,67",2012
11/2022,MMCostaRica,5,"0,00",1600
11/2022,MMDigital,12832930,"0,35",16659456
11/2022,MMDigital_App,3,"0,67",1100
11/2022,MMDigital_Passback,50548,"0,10",9955
11/2022,MMLaguna,5953,"0,89",918
11/2022,MMLaguna_App,222,"0,85",32700
11/2022,MMPuebla,1258,"0,87",202
11/2022,MMRadio,254743,"0,45",33281
11/2022,MMTelediarioCR,5306373,"0,26",12214261
11/2022,Multimedios_APP,112625,"0,90",18836
11/2022,Multimedios_Radio,77246,"0,87",8441
11/2022,NewTelediarioMx,17056196,"0,24",21726142
11/2022,Tablet_APP_Classic,0,"0,00",400
11/2022,Tablet_APP_D99,0,"0,00",24700
11/2022,Tablet_APP_FMtu,0,"0,00",1200
11/2022,Tablet_APP_Hits,0,"0,00",1200
11/2022,Tablet_APP_LaCaliente,0,"0,00",3600
11/2022,Tablet_APP_LaLupe,0,"0,00",2300
11/2022,Tablet_APP_NewTDMx,966,"0,98",109
11/2022,Tablet_APP_RGDeportiva,0,"0,00",800
11/2022,Telediario_APP,219,"0,92",28900
11/2022,mundial_qatar,84698,"0,73",17279
12/2022,AMP_MMTelediarioCR,302463,"0,58",39886
12/2022,AMP_NewTelediarioMx,1258632,"0,66",1832451
12/2022,APP_Classic,0,"0,00",33000
12/2022,APP_D99,15,"0,80",83000
12/2022,APP_FMtu,7,"0,57",38100
12/2022,APP_Hits,502,"0,94",92200
12/2022,APP_LaCaliente,70,"0,79",96600
12/2022,APP_LaLupe,55,"0,62",51800
12/2022,APP_MMTelediarioCR,9474,"0,81",2182
12/2022,APP_NewTDMx,17949,"0,85",45289
12/2022,APP_RGLaDeportiva,3,"0,67",44500
12/2022,Default,5596,"0,65",1982
12/2022,MMCostaRica,12,"0,08",3200
12/2022,MMDigital,14827546,"0,48",21183294
12/2022,MMDigital_App,0,"0,00",600
12/2022,MMDigital_Passback,41796,"0,12",10441
12/2022,MMLaguna,10196,"0,90",1601
12/2022,MMLaguna_App,236,"0,79",36600
12/2022,MMPuebla,1371,"0,88",212
12/2022,MMRadio,253633,"0,43",32488
12/2022,MMTelediarioCR,5639151,"0,24",14381817
12/2022,Multimedios_APP,100746,"0,90",17299
12/2022,Multimedios_Radio,44846,"0,85",5975
12/2022,NewTelediarioMx,11834219,"0,27",14906121
12/2022,Tablet_APP_Classic,0,"0,00",500
12/2022,Tablet_APP_D99,0,"0,00",1800
12/2022,Tablet_APP_FMtu,0,"0,00",400
12/2022,Tablet_APP_Hits,0,"0,00",700
12/2022,Tablet_APP_LaCaliente,0,"0,00",1200
12/2022,Tablet_APP_LaLupe,0,"0,00",1900
12/2022,Tablet_APP_NewTDMx,838,"0,98",91700
12/2022,Tablet_APP_RGDeportiva,0,"0,00",300
12/2022,Telediario_APP,162,"0,94",21500
12/2022,mundial_qatar,32942,"0,83",6809
01/2023,AMP_MMTelediarioCR,254179,"0,61",38545
01/2023,AMP_NewTelediarioMx,2285929,"0,62",3302687
01/2023,APP_Classic,43,"1,00",16700
01/2023,APP_D99,30,"0,97",15900
01/2023,APP_FMtu,16,"0,94",8000
01/2023,APP_Hits,31,"1,00",15100
01/2023,APP_LaCaliente,183,"0,94",61600
01/2023,APP_LaLupe,35,"1,00",16300
01/2023,APP_MMTelediarioCR,11247,"0,83",2606
01/2023,APP_NewTDMx,207263,"0,81",57298
01/2023,APP_RGLaDeportiva,21,"1,00",10200
01/2023,Default,7904,"0,69",7628
01/2023,MMCostaRica,15,"0,00",5300
01/2023,MMDigital,9033431,"0,47",11655927
01/2023,MMDigital_App,2,"0,00",300
